scouting_rank,player_name,club_name,competition_name,country_name,age_at_season_end,position,minutes,goals,assists,goals_per90,assists_per90,market_value_m,breakout_probability_pct
57,Joseph Opoku,Zulte Waregem,jupiler-pro-league,Belgium,21,Attack,2033.0,5.0,5.0,0.221,0.221,4.5,81.15240531325223
58,Noah Saviolo,Vitória Guimarães SC,liga-portugal,Portugal,22,Attack,1961.0,2.0,5.0,0.092,0.229,10.0,80.50999394736475
59,Chissumba,FC Alverca,liga-portugal,Portugal,21,Defender,1510.0,0.0,0.0,0.0,0.0,5.0,80.06543384821934
60,Victor Bak,FC Midtjylland,superliga,Denmark,23,Defender,1604.0,1.0,2.0,0.056,0.112,4.0,79.9732990621628
61,André Gomes,FC Alverca,liga-portugal,Portugal,22,Goalkeeper,2250.0,0.0,0.0,0.0,0.0,3.0,79.55371967889685
62,Anthony Dennis,Göztepe,super-lig,Türkiye,22,Midfield,2474.0,3.0,0.0,0.109,0.0,8.0,79.36983626202758
63,Yaimar Medina,KRC Genk,jupiler-pro-league,Belgium,22,Defender,1136.0,0.0,1.0,0.0,0.079,4.0,79.31986890297016
64,Marvin Young,Sparta Rotterdam,eredivisie,Netherlands,21,Defender,2970.0,0.0,1.0,0.0,0.03,5.0,79.21420646792448
65,Fedde Leysen,Union Saint-Gilloise,jupiler-pro-league,Belgium,23,Defender,1594.0,1.0,1.0,0.056,0.056,3.5,78.95659693355381
66,Thomas Jørgensen,Viborg FF,superliga,Denmark,21,Midfield,1742.0,3.0,7.0,0.155,0.362,5.0,78.9473408886524
67,Oumar Diakité,Cercle Brugge,jupiler-pro-league,Belgium,23,Attack,1105.0,3.0,2.0,0.244,0.163,5.0,78.84091070628439
68,Lucas Hey,RSC Anderlecht,jupiler-pro-league,Belgium,23,Defender,2018.0,0.0,0.0,0.0,0.0,2.5,78.83412967628288
69,Deniz Gül,FC Porto,liga-portugal,Portugal,22,Attack,1171.0,5.0,1.0,0.384,0.077,5.0,78.78514608684918
70,Bernt Klaverboer,SC Heerenveen,eredivisie,Netherlands,21,Goalkeeper,2610.0,0.0,0.0,0.0,0.0,3.0,78.77866881903343
71,Juho Lähteenmäki,FC Nordsjaelland,superliga,Denmark,20,Defender,1381.0,1.0,2.0,0.065,0.13,4.5,78.6612916297038
72,Rosen Bozhinov,Royal Antwerp FC,jupiler-pro-league,Belgium,21,Defender,1279.0,1.0,0.0,0.07,0.0,4.0,78.55067561200124
73,Kayne van Oevelen,FC Volendam,eredivisie,Netherlands,23,Goalkeeper,2851.0,0.0,0.0,0.0,0.0,2.0,78.20045380961264
74,Youri Regeer,Ajax Amsterdam,eredivisie,Netherlands,23,Midfield,1697.0,0.0,3.0,0.0,0.159,5.0,78.11503974372302
75,Kristian Arnstad,Aarhus GF,superliga,Denmark,23,Attack,1728.0,9.0,3.0,0.469,0.156,6.0,77.77956699612767
76,Thijmen Blokzijl,FC Groningen,eredivisie,Netherlands,21,Defender,3047.0,1.0,1.0,0.03,0.03,4.0,77.63016554043327
77,Ilay Camara,RSC Anderlecht,jupiler-pro-league,Belgium,23,Defender,1009.0,1.0,1.0,0.089,0.089,3.5,77.60645403466488
78,Lushendry Martes,Sparta Rotterdam,eredivisie,Netherlands,18,Defender,941.0,0.0,0.0,0.0,0.0,3.0,77.2608100803443
79,Marvin Elimbi,Gil Vicente FC,liga-portugal,Portugal,23,Defender,2432.0,0.0,0.0,0.0,0.0,4.0,76.57372004668237
80,Ángel Alarcón,FC Utrecht,eredivisie,Netherlands,22,Attack,971.0,3.0,3.0,0.278,0.278,6.0,76.44156320483432
81,Maestro,Alanyaspor,super-lig,Türkiye,23,Midfield,1425.0,1.0,1.0,0.063,0.063,7.0,76.315835070022
82,Denil Castillo,FC Midtjylland,superliga,Denmark,22,Midfield,1271.0,4.0,5.0,0.283,0.354,7.0,76.29985875320672
83,Tochukwu Nnadi,Zulte Waregem,jupiler-pro-league,Belgium,23,Midfield,1418.0,0.0,1.0,0.0,0.063,4.5,76.24279747626419
